,runtime,director,actors,year,month,day,number_of_languages,pred,budget,indicator,genres,original_language,production_countries,production_company
0,101.59183673469387,0.2653061224489796,1.183673469387755,2002.5714285714287,6.714285714285714,15.122448979591837,1.3877551020408163,14041615.261904765,3.0,budget,,,,
1,101.59183673469387,0.2653061224489796,1.183673469387755,2002.5714285714287,6.714285714285714,15.122448979591837,1.3877551020408163,10440599.62557823,5.0,budget,,,,
2,101.59183673469387,0.2653061224489796,1.183673469387755,2002.5714285714287,6.714285714285714,15.122448979591837,1.3877551020408163,9476448.787891159,75.0,budget,,,,
3,101.59183673469387,0.2653061224489796,1.183673469387755,2002.5714285714287,6.714285714285714,15.122448979591837,1.3877551020408163,9449117.131292516,110.0,budget,,,,
4,101.59183673469387,0.2653061224489796,1.183673469387755,2002.5714285714287,6.714285714285714,15.122448979591837,1.3877551020408163,9447158.04897959,120.0,budget,,,,
5,101.59183673469387,0.2653061224489796,1.183673469387755,2002.5714285714287,6.714285714285714,15.122448979591837,1.3877551020408163,9437223.292653061,130.0,budget,,,,
6,101.59183673469387,0.2653061224489796,1.183673469387755,2002.5714285714287,6.714285714285714,15.122448979591837,1.3877551020408163,9237464.27632653,450.0,budget,,,,
7,101.59183673469387,0.2653061224489796,1.183673469387755,2002.5714285714287,6.714285714285714,15.122448979591837,1.3877551020408163,9236824.053605443,700.0,budget,,,,
8,101.59183673469387,0.2653061224489796,1.183673469387755,2002.5714285714287,6.714285714285714,15.122448979591837,1.3877551020408163,9239965.18340136,8000.0,budget,,,,
9,101.59183673469387,0.2653061224489796,1.183673469387755,2002.5714285714287,6.714285714285714,15.122448979591837,1.3877551020408163,9242299.703537414,9000.0,budget,,,,
10,101.59183673469387,0.2653061224489796,1.183673469387755,2002.5714285714287,6.714285714285714,15.122448979591837,1.3877551020408163,9181929.8985034,11180.0,budget,,,,
11,101.59183673469387,0.2653061224489796,1.183673469387755,2002.5714285714287,6.714285714285714,15.122448979591837,1.3877551020408163,9169910.402040817,15000.0,budget,,,,
